メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,,,,排気量
メルセデス・ベンツ,Ａクラス 5D 4WD,2014,ＡＴ,68,176052,-1 - 修復歴あり,69 ～ 72,2025年09月,Ａ４５ ＡＭＧ ４マチック,2000,,白,AC NV TV AW 革
メルセデス・ベンツ,ＧＬクラス 5D 4WD,2013,ＣＡＴ,33,166873,5 - すごくきれい,329 ～ 332,2025年09月,ＧＬ５５０ ４マチック ＡＭＧエクスクルーシブパック,4700,8.5,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＥＱＢ 5D 2WD,2022,ＣＡＴ,9,243601C,5 - すごくきれい,336 ～ 341,2025年09月,ＥＱＢ２５０ ＡＭＧラインパッケージ,,9.6,黒,000 AC NV TV AW SR 革
メルセデス・ベンツ,Ｂクラス 5D 2WD,2019,ＣＡＴ,74,247012,3 - 普通,75 ～ 81,2025年09月,Ｂ２００ｄ ＡＭＧライン,2000,,シルバー,AC NV TV
メルセデス・ベンツ,ＧＬＥ 5D 4WD,2018,ＡＴ,63,166024,4 - きれい,300 ～ 302,2025年09月,ＧＬＥ３５０ｄ ４マチックスポーツ,3000,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＣＬＳクラス 4D 4WD,2019,ＣＡＴ,104,257359,4 - きれい,206 ～ 209,2025年09月,ＣＬＳ４５０ ４マチック スポーツ,3000,8.10,赤,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＣ 5D 4WD,2022,ＣＡＴ,41,253915C,5 - すごくきれい,389 ～ 391,2025年09月,,2000,9.2,グレー,AC NV TV AW SR 革
メルセデス・ベンツ,Ｃクラス 4D 2WD,2012,ＡＴ,104,204048,4 - きれい,46 ～ 49,2025年09月,Ｃ２００ブルーエフィシェンシーアバンギャルド,1800,,黒,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＣ 5D 4WD,2016,ＣＡＴ,68,253946C,5 - すごくきれい,169 ～ 171,2025年09月,ＧＬＣ２５０ ４マチックスポーツ（本革仕様）,2000,,白,AC NV TV AW SR 革
メルセデス・ベンツ,ＧＬＡクラス 5D 4WD,2018,ＣＡＴ,51,156947,5 - すごくきれい,123 ～ 125,2025年09月,ＧＬＡ２２０ ４マチック,2000,9.4,シルバー,AC NV TV AW SR 革
