メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
ヒョンデ,ヒュンダイクーペ クーペ 2WD,2002,ＡＴ,84,GK27,3 - 普通,7 ～ 9,2025年02月,ＦＸ Ｖ６,2700,,白,AC NV TV AW SR 革
ヒョンデ,ヒュンダイクーペ 2WD,2008,６ＭＴ,197,GK27,3 - 普通,6 ～ 10,2025年02月,,2700,,青,AC
ヒョンデ,ヒュンダイクーペ 2WD,2008,６ＭＴ,197,GK27,3 - 普通,7 ～ 9,2025年02月,,2700,,青,AC
ヒョンデ,ネッソ 5D 2WD,2022,ＡＴ,37,FE120,3 - 普通,96 ～ 102,2025年02月,ベースグレード,,,紺,000 AC NV TV AW SR 革
ヒョンデ,ヒュンダイクーペ 2WD,2008,６ＭＴ,198,GK27,3 - 普通,9 ～ 13,2025年02月,,2700,,青,AC
ヒョンデ,ヒュンダイクーペ 2WD,2008,６ＭＴ,194,GK27,3 - 普通,9 ～ 13,2025年02月,,2700,,青,AC
ヒョンデ,ＸＧ 4DHT 2WD,2002,ＡＴ,42,XG30,4 - きれい,8 ～ 12,2025年02月,300,3000,,シルバー,AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 4WD,2023,ＣＡＴ,17,NE4LRG,5 - すごくきれい,318 ～ 322,2025年02月,ラウンジ ＡＷＤ,,8.7,白,000 AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 4WD,2022,ＣＡＴ,21,NE4LRG,4 - きれい,219 ～ 222,2025年01月,ラウンジ ＡＷＤ,,7.8,グレー,000 AC NV TV AW SR 革
ヒョンデ,ｉ３０ｃｗ 5D 2WD,2009,ＡＴ,31,FDW16,3 - 普通,13 ～ 17,2025年01月,１．６ＧＬ,1600,,シルバー,AC NV TV AW SR 革
ヒョンデ,アイオニック５ 5D 4WD,2023,ＣＡＴ,22,NE4LRG,5 - すごくきれい,317 ～ 320,2025年01月,ラウンジ ＡＷＤ,,8.12,白,000 AC NV TV AW SR 革
ヒョンデ,ヒュンダイクーペ 2WD,2008,６ＭＴ,193,GK27,3 - 普通,9 ～ 11,2025年01月,,2700,,青,AC NV TV AW SR 革
ヒョンデ,ヒュンダイクーペ 2WD,2008,６ＭＴ,196,GK27,3 - 普通,9 ～ 11,2025年01月,,2700,,青,AC
ヒョンデ,ＸＧ 4DHT 2WD,2002,ＡＴ,42,XG30,4 - きれい,5 ～ 9,2025年01月,300,3000,,シルバー,AC NV TV AW SR 革
ヒョンデ,エラントラ 4D 2WD,2005,ＡＴ,59,XD20,3 - 普通,8 ～ 10,2024年12月,,2000,,シルバー,AC NV TV AW SR 革
ヒョンデ,エラントラ 4D 2WD,2005,ＡＴ,60,XD20,3 - 普通,8 ～ 12,2024年12月,,2000,,シルバー,AC NV TV AW SR 革
ヒョンデ,エラントラ 4D 2WD,2005,ＡＴ,59,XD20,3 - 普通,7 ～ 11,2024年12月,,2000,,シルバー,AC NV TV AW SR 革
ヒョンデ,ＪＭ 2WD,2005,ＡＴ,69,JM20,-1 - 修復歴あり,27 ～ 31,2024年10月,,2000,,シルバー,AC NV TV AW SR 革
ヒョンデ,ＪＭ 2WD,2005,ＡＴ,71,JM20,-1 - 修復歴あり,26 ～ 30,2024年10月,,2000,,シルバー,AC NV TV AW SR 革
ヒョンデ,ＪＭ 2WD,2005,ＡＴ,69,JM20,-1 - 修復歴あり,26 ～ 29,2024年10月,,2000,,シルバー,AC NV TV AW SR 革
ヒョンデ,ＴＢ 2WD,2006,ＡＴ,145,TB14,3 - 普通,2 ～ 6,2024年07月,,1400,,黒,AC AW SR 革
ヒョンデ,ＴＢ 2WD,2006,ＡＴ,151,TB14,3 - 普通,4 ～ 7,2024年07月,,1400,,黒,AC AW SR 革
ヒョンデ,ＴＢ 2WD,2006,ＡＴ,150,TB14,3 - 普通,4 ～ 8,2024年07月,,1400,,黒,AC AW SR 革
ヒョンデ,コナ 2WD,2019,ＡＴ,25,5 - すごくきれい,113 ～ 117,nan,2024年06月,グレーII,,6.10,,000 AC AW 革
ヒョンデ,コナ 2WD,2019,ＡＴ,28,5 - すごくきれい,113 ～ 117,nan,2024年06月,グレーII,,6.7,,000 AC AW 革
ヒョンデ,コナ 2WD,2019,ＡＴ,23,5 - すごくきれい,113 ～ 118,nan,2024年06月,グレーII,,6.12,,000 AC AW 革
ヒョンデ,ＴＢ 2WD,2005,ＡＴ,57,TB13,4 - きれい,13 ～ 16,2024年05月,,1300,,グレー,AC AW
ヒョンデ,ＴＢ 2WD,2005,ＡＴ,55,TB13,4 - きれい,14 ～ 18,2024年05月,,1300,,グレー,AC AW
ヒョンデ,ＴＢ 2WD,2005,ＡＴ,53,TB13,4 - きれい,14 ～ 17,2024年05月,,1300,,グレー,AC AW
ヒョンデ,ＴＢ 2WD,2003,ＡＴ,55,TB13,3 - 普通,12 ～ 15,2024年05月,,1300,,赤,AC AW
ヒョンデ,ＴＢ 2WD,2003,ＡＴ,56,TB13,3 - 普通,13 ～ 16,2024年05月,,1300,,赤,AC AW
ヒョンデ,ＴＢ 2WD,2003,ＡＴ,55,TB13,3 - 普通,12 ～ 16,2024年05月,,1300,,赤,AC AW
ヒョンデ,グレンジャー 2WD,2007,ＡＴ,87,TG33,4 - きれい,4 ～ 10,2024年04月,,2700,,黒,AC
ヒョンデ,グレンジャー 2WD,2007,ＡＴ,86,TG33,4 - きれい,4 ～ 9,2024年04月,,2700,,黒,AC
ヒョンデ,ＪＭ 5D 2WD,2005,ＡＴ,44,JM20,4 - きれい,46 ～ 48,2024年04月,２．０ＧＬＳ,2000,,,AC AW
ヒョンデ,コナ 2WD,2019,ＡＴ,4,5 - すごくきれい,148 ～ 153,nan,2024年04月,,,,青,000 AC AW 革
ヒョンデ,コナ 2WD,2019,ＡＴ,3,5 - すごくきれい,149 ～ 151,nan,2024年04月,,,,青,000 AC AW 革
ヒョンデ,コナ 2WD,2019,ＡＴ,5,5 - すごくきれい,149 ～ 153,nan,2024年04月,,,,青,000 AC AW 革
ヒョンデ,ソナタ 2WD,2006,ＡＴ,42,NF24,4 - きれい,7 ～ 12,2024年04月,,2400,7.5,シルバー,AC AW SR 革
ヒョンデ,ソナタ 2WD,2009,ＡＴ,167,NF24,3 - 普通,11 ～ 16,2024年04月,,2400,,パール,AC AW
ヒョンデ,グレンジャー 2WD,2006,ＡＴ,88,TG33,3 - 普通,8 ～ 12,2024年03月,,3300,,,AC
ヒョンデ,グレンジャー 2WD,2006,ＡＴ,88,TG33,3 - 普通,9 ～ 12,2024年03月,,3300,,,AC
ヒョンデ,ヒュンダイクーペ クーペ 2WD,2007,ＡＴ,48,GK27,3 - 普通,9 ～ 14,2024年03月,ＦＸ,2700,,青,AC AW
ヒョンデ,ＪＭ 5D 2WD,2005,ＡＴ,147,JM20,4 - きれい,30 ～ 35,2024年02月,２．０ＧＬＳ,2000,6.8,白,AC AW
ヒョンデ,グレンジャー 4D 2WD,2007,ＡＴ,86,TG33,3 - 普通,12 ～ 15,2024年01月,３．３ＧＬＳ Ｌパッケージ,3300,,黒,AC AW SR 革
