メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
日産,ノート 5D 2WD,2011,ＡＴ,108,E11,3 - 普通,7 ～ 11,2025年09月,１５Ｘ ＳＶ,1500,7.12,ワイン,AC NV TV AW SR 革
日産,ノート 5D 2WD,2015,ＡＴ,1001,E12,3 - 普通,10 ～ 16,2025年09月,メダリスト エマージェンシーブレーキパッケージ,1200,8.4,黒,AC NV TV AW SR 革
日産,ブルーバードシルフィ 4D 2WD,2008,ＡＴ,43,KG11,4 - きれい,9 ～ 12,2025年09月,２０Ｓ,2000,,シルバー,AC NV TV AW 革
日産,ノート 5D 2WD,2021,ＡＴ,61,E13,-1 - 修復歴あり,77 ～ 82,2025年09月,Ｘ,1200,8.12,黒,AC NV TV
日産,ルークス 5D 2WD,2012,ＡＴ,121,ML21S,3 - 普通,3 ～ 8,2025年09月,ハイウェイスターターボ,,,パープル,660 AC NV TV AW 革
日産,セレナ 5D 2WD,2020,ＡＴ,66,HFC27,5 - すごくきれい,174 ～ 178,2025年09月,ｅ－パワー ハイウェイスターＶ,1200,7.9,黒,AC NV TV AW
日産,リーフ 5D 2WD,2016,ＡＴ,42,AZE0,3 - 普通,4 ～ 6,2025年09月,Ｘ（３０ｋｗｈ）,,,パール,000 AC NV TV
日産,ダットサンピックアップ 4WD,1995,５ＭＴ,432,BMD 21.00,3 - 普通,24 ～ 26,2025年09月,,2700,8.3,,黒II
日産,ノート 5D 2WD,2013,ＡＴ,65,E12,4 - きれい,13 ～ 15,2025年09月,Ｘ ＤＩＧ－Ｓ,1200,7.12,黒,AC NV TV AW SR 革
日産,バネットトラック 2D 2WD,2013,ＡＴ,7,SKP2TN,4 - きれい,137 ～ 141,2025年09月,スーパーローＤＸ,1800,8.5,白,AC NV TV AW SR 革
日産,セレナ 5D 2WD,2012,ＡＴ,151,HFC26,3 - 普通,6 ～ 10,2025年09月,ハイウェイスターＧ Ｓ－ハイブリッド,2000,,パール,AC AW
日産,デイズ 5D 2WD,2016,ＡＴ,35,B21W,5 - すごくきれい,34 ～ 38,2025年09月,Ｘ,,8.3,赤,660 AC NV TV
日産,バネットトラック 2D 2WD,2013,５ＭＴ,128,SKP2TN,4 - きれい,34 ～ 39,2025年09月,スーパーローＤＸ,1800,,白,AC NV TV AW 革
日産,ｅ－ＮＶ２００ワゴン 5D 2WD,2016,ＡＴ,20,ME0,3 - 普通,51 ～ 54,2025年09月,Ｇ,,,白,000 AC NV TV AW
日産,セレナ 5D 2WD,2007,ＡＴ,134,CC25,3 - 普通,9 ～ 13,2025年09月,ハイウェイスター,2000,,パール,AC AW
日産,セレナ 5D 4WD,2020,ＡＴ,26,GNC27,4 - きれい,168 ～ 174,2025年09月,ＸＶ,2000,,シルバー,AC
日産,エクストレイル 5D 4WD,2006,ＡＴ,119,NT30,3 - 普通,13 ～ 19,2025年09月,Ｘｔｔ,2000,9.6,黒,AC NV TV AW
