メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備
スズキ,ワゴンＲ 5D 2WD,2012,ＡＴ,125,MH34S,-1 - 修復歴あり,5 ～ 8,2025年09月,ライトブルー,,,,660 AC NV TV
スズキ,ワゴンＲ 5D 2WD,2019,ＡＴ,44,MH35S,4 - きれい,42 ～ 47,2025年09月,ＦＡ,,,黒,660 AC
スズキ,ワゴンＲスティングレー 5D 2WD,2017,ＡＴ,116,MH55S,4 - きれい,26 ～ 32,2025年09月,ハイブリッドＸ,,7.11,黒,660 AC NV TV AW
スズキ,スペーシアカスタム 5D 2WD,2024,ＡＴ,9,MK94S,5 - すごくきれい,185 ～ 189,2025年09月,ハイブリッドＸＳ,,9.10,,660 AC NV TV AW 革
スズキ,ジムニー 3D 4WD,2024,ＡＴ,2,JB64W,5 - すごくきれい,184 ～ 188,2025年09月,ＸＣ,,9.10,緑,660 AC AW
スズキ,キャリイトラック 2D 4WD,1999,５ＭＴ,95,DB52T,3 - 普通,9 ～ 13,2025年09月,ＫＡ,,,白,660 AC
スズキ,ハスラー 5D 2WD,2014,ＡＴ,153,MR31S,3 - 普通,12 ～ 16,2025年09月,Ａ,,7.10,黒,660 AC AW
スズキ,スペーシア 5D 2WD,2015,ＡＴ,90,MK42S,3 - 普通,11 ～ 17,2025年09月,Ｇ,,8.8,ピンク,660 AC
スズキ,スペーシア 5D 2WD,2019,ＡＴ,38,MK53S,4 - きれい,102 ～ 106,2025年09月,ハイブリッドＸ,,8.4,黒,660 AC
スズキ,パレットＳＷ 5D 2WD,2011,ＡＴ,35,MK21S,4 - きれい,18 ～ 21,2025年09月,ＴＳ,,8.10,ゴールド,660 AC NV TV AW 革
スズキ,キャリイトラック 2D 4WD,2011,５ＭＴ,98,DA65T,-1 - 修復歴あり,19 ～ 24,2025年09月,ＦＣ農繁仕様,,,白,660 AC
スズキ,ワゴンＲ 5D 2WD,2023,ＡＴ,13,MH85S,5 - すごくきれい,94 ～ 100,2025年09月,ＦＸ,,8.4,グレー,660 AC
スズキ,ワゴンＲ 5D 2WD,2013,ＡＴ,91,MH34S,-1 - 修復歴あり,6 ～ 10,2025年09月,ＦＸ,,8.7,白,660 AC
スズキ,スイフトスポーツ 2WD,2013,ＡＴ,116,ZC32S,4 - きれい,30 ～ 35,2025年09月,,1600,,黒,AC NV TV AW
スズキ,スペーシア 5D 2WD,2023,ＡＴ,15,MK53S,5 - すごくきれい,111 ～ 115,2025年09月,ハイブリッドＧ,,,パール,660 AC
スズキ,ワゴンＲ 5D 2WD,2008,ＣＡＴ,162,MH22S,-1 - 修復歴あり,2 ～ 6,2025年09月,スティングレーＸ,,,黒,660 AC AW
