メーカー,車種,年式,シフト,走行,型式,評価,価格,更新年月,グレード,排気量,車検,色,装備,グレード_fixed,排気量_fixed,車検_fixed,色_fixed,装備_fixed
メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月 ▲,グレード,排気量,車検,色,装備,グレード,,,,排気量
マセラティ,クアトロポルテ 4D 2WD,2005,ＡＴ,40,MQP,4 - きれい,41 ～ 45,2025年05月,ベースグレード,4200,,パープル,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,54,MQP,4 - きれい,42 ～ 45,2025年04月,エグゼクティブＧＴ,4200,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,88,MG30A,4 - きれい,158 ～ 160,2025年04月,Ｓ,3000,,青,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,32,MG30B,5 - すごくきれい,184 ～ 189,2025年04月,ベースグレード,3000,8.11,白,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2016,ＡＴ,90,MLE30E,5 - すごくきれい,240 ～ 244,2025年04月,Ｓ,3000,7.12,黒,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 5D 4WD,2023,ＡＴ,13,MGR30,5 - すごくきれい,802 ～ 808,2025年04月,トロフェオ,3000,8.4,青,AC NV TV AW SR 革,,,,,
マセラティ,スパイダー オープン 2WD,2004,ＡＴ,65,SPY,4 - きれい,181 ～ 185,2025年04月,ベースグレード,4200,8.5,赤,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,75,MQP,5 - すごくきれい,99 ～ 103,2025年04月,スポーツＧＴ,4200,9.7,青,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,35,MG30C,5 - すごくきれい,419 ～ 423,2025年04月,グランスポーツ,3000,8.2,グレー,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,41,MG30A,5 - すごくきれい,242 ～ 247,2025年04月,Ｓ,3000,8.3,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,17,MLE30,5 - すごくきれい,597 ～ 601,2025年04月,モデナ,3000,,紺,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,67,MQP30A,5 - すごくきれい,139 ～ 145,2025年04月,Ｓ,3000,7.10,白,AC NV TV AW 革,,,,,
マセラティ,ギブリ 2WD,2020,ＡＴ,29,MG30A,4 - きれい,346 ～ 351,2025年04月,,3000,,紺,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,94,MQP38A,5 - すごくきれい,115 ～ 118,2025年04月,ＧＴ Ｓ,3800,,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,38,MG30A,5 - すごくきれい,186 ～ 188,2025年04月,Ｓ,3000,8.2,パール,AC NV TV AW SR,,,,,
マセラティ,クアトロポルテ 4D 2WD,2012,ＡＴ,51,MQPG,4 - きれい,197 ～ 200,2025年04月,スポーツＧＴ Ｓ,4700,,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,69,MG30B,5 - すごくきれい,153 ～ 155,2025年04月,ベースグレード,3000,8.1,黒,AC AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2012,ＡＴ,111,MQPG,4 - きれい,185 ～ 190,2025年04月,スポーツＧＴ Ｓ,4700,,グレー,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,72,MQP30A,4 - きれい,139 ～ 142,2025年04月,Ｓ,3000,9.5,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,32,MLE30A,5 - すごくきれい,400 ～ 402,2025年04月,ベースグレード,3000,8.5,白,AC NV TV AW SR,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,83,MQPS,3 - 普通,119 ～ 123,2025年04月,Ｓ,4700,8.12,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,11,MLE38A,5 - すごくきれい,895 ～ 899,2025年04月,トロフェオ,3800,7.3,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,35,MLE30D,5 - すごくきれい,407 ～ 412,2025年04月,グランスポーツ,3000,,白,AC AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,28,MLE30,5 - すごくきれい,535 ～ 540,2025年04月,モデナ,3000,7.9,青,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2014,ＡＴ,35,MGTS2,4 - きれい,374 ～ 376,2025年04月,スポーツ ＭＣシフト,4700,8.1,青,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,132,MG30B,4 - きれい,95 ～ 101,2025年04月,ベースグレード,3000,8.10,青,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2020,ＡＴ,54,MG30A,5 - すごくきれい,288 ～ 292,2025年04月,Ｓ,3000,7.10,白,AC NV TV AW,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,85,MLE30D,5 - すごくきれい,238 ～ 242,2025年04月,ベースグレード,3000,8.5,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2015,ＡＴ,61,MQP30A,5 - すごくきれい,204 ～ 208,2025年04月,Ｓ,3000,9.2,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,92,MG30B,4 - きれい,143 ～ 147,2025年04月,ベースグレード,3000,7.11,白,AC NV TV SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,72,MQP,4 - きれい,49 ～ 53,2025年04月,ベースグレード,4200,,白,AC SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,49,MLE30D,5 - すごくきれい,409 ～ 411,2025年04月,グランスポーツ,3000,7.12,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,12,MLE30E,5 - すごくきれい,328 ～ 332,2025年04月,Ｓ,3000,8.4,パール,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 2WD,2022,ＡＴ,10,MG20,5 - すごくきれい,533 ～ 537,2025年04月,青Ｍ,2000,,,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 5D 4WD,2023,ＡＴ,12,MGR20A,5 - すごくきれい,736 ～ 742,2025年04月,モデナ,2000,8.4,白,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,1998,ＡＴ,65,QP8,-1 - 修復歴あり,31 ～ 36,2025年04月,エボルツィオーネＶ８,3200,,緑,AC AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2020,ＡＴ,12,MG30C,5 - すごくきれい,514 ～ 518,2025年04月,グランスポーツ,3000,9.3,青,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,46,MG30A,5 - すごくきれい,258 ～ 261,2025年04月,Ｓ,3000,8.2,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,68,MG30A,5 - すごくきれい,209 ～ 212,2025年04月,Ｓ,3000,9.1,青,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,47,MG30A,5 - すごくきれい,371 ～ 375,2025年04月,Ｓ グランスポーツ,3000,7.11,白,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,82,MQPS,3 - 普通,105 ～ 108,2025年04月,Ｓ,4700,8.7,白,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 5D 4WD,2023,ＡＴ,22,5 - すごくきれい,840 ～ 844,nan,2025年04月,トロフェオ,3000,8.9,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,15,MLE38,5 - すごくきれい,836 ～ 839,2025年04月,トロフェオ,3800,8.8,グレー,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 5D 4WD,2024,ＡＴ,30,MGR20A,5 - すごくきれい,596 ～ 600,2025年04月,モデナ,2000,9.5,白,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 5D 4WD,2023,ＡＴ,10,MGR20C,5 - すごくきれい,679 ～ 683,2025年04月,ＧＴ,2000,8.3,白,AC NV TV AW SR 革,,,,,
マセラティ,クーペ 2WD,2004,ＡＴ,116,MCP,-1 - 修復歴あり,43 ～ 46,2025年04月,,4200,,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2023,ＡＴ,7,MQP30,5 - すごくきれい,831 ～ 835,2025年04月,,3000,8.9,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2013,ＡＴ,34,MGTS2,4 - きれい,408 ～ 412,2025年04月,スポーツ ＭＣシフト,4700,,黒,AC NV TV AW,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,107,MQP,4 - きれい,39 ～ 45,2025年04月,ベースグレード,4200,9.2,白,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,24,MG30C,5 - すごくきれい,369 ～ 372,2025年04月,グランスポーツ,3000,,パール,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,82,MQP30A,4 - きれい,101 ～ 105,2025年04月,Ｓ,3000,7.8,白,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2008,ＡＴ,154,MQP,3 - 普通,31 ～ 36,2025年04月,ベースグレード,4200,,シルバー,AC AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2005,ＡＴ,86,MQP,4 - きれい,15 ～ 21,2025年04月,ベースグレード,4200,7.4,赤,AW 革,,,,,
マセラティ,レヴァンテ 4WD,2022,ＡＴ,11,MLE30,5 - すごくきれい,637 ～ 640,2025年04月,,3000,9.3,黒,AC AW SR,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,57,MLE30D,4 - きれい,263 ～ 269,2025年04月,ベースグレード,3000,8.4,白,AC SR,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2018,ＡＴ,28,MGTA1,5 - すごくきれい,676 ～ 679,2025年04月,スポーツ,4700,8.11,白,AC NV TV AW,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,94,MQP38A,4 - きれい,100 ～ 104,2025年04月,ＧＴ Ｓ,3800,,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2012,ＡＴ,20,MGTA,5 - すごくきれい,297 ～ 303,2025年04月,Ｓ,4700,7.6,黒,AC NV TV AW 革,,,,,
マセラティ,グレカーレ 4WD,2023,ＡＴ,21,MGR20C,5 - すごくきれい,613 ～ 618,2025年04月,,2000,8.9,白,AC NV TV AW 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2017,ＡＴ,31,MGTA1,5 - すごくきれい,516 ～ 519,2025年04月,スポーツ ＭＣオートシフト,4700,8.3,青,AC NV TV AW,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,72,MQP38A,4 - きれい,152 ～ 156,2025年04月,ＧＴ Ｓ,3800,,シルバー,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2010,ＡＴ,36,MGTS,5 - すごくきれい,348 ～ 352,2025年04月,Ｓ,4700,8.1,白,AC 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2016,ＡＴ,117,MLE30E,4 - きれい,213 ～ 219,2025年04月,Ｓ,3000,8.1,白,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,20,MLE30,5 - すごくきれい,600 ～ 604,2025年04月,モデナ,3000,8.4,白,AC AW SR,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,113,MLE30A,4 - きれい,214 ～ 217,2025年04月,ベースグレード,3000,7.10,黒,AC AW,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,32,MLE30,5 - すごくきれい,589 ～ 592,2025年04月,モデナ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2019,ＡＴ,18,MG30C,4 - きれい,289 ～ 294,2025年04月,グランスポーツ,3000,,赤,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2023,ＡＴ,9,MLE20,3 - 普通,520 ～ 524,2025年04月,,2000,8.7,グレー,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,36,MLE30E,5 - すごくきれい,415 ～ 419,2025年04月,Ｓグランスポーツ,3000,7.8,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2021,ＡＴ,13,MG20,5 - すごくきれい,327 ～ 329,2025年04月,ハイブリッド グランルッソ,2000,8.8,グレー,AC NV TV AW 革,,,,,
マセラティ,グランカブリオ オープン 2WD,2016,ＡＴ,90,MGCS1,4 - きれい,354 ～ 360,2025年04月,スポーツ,4700,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 4WD,2016,ＡＴ,22,MG30AA,5 - すごくきれい,254 ～ 258,2025年04月,Ｓ Ｑ４,3000,7.9,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2010,ＡＴ,41,MGTA,4 - きれい,293 ～ 296,2025年04月,Ｓ,4700,8.1,黒,AC NV TV AW 革,,,,,
マセラティ,グランスポーツ オープン 2WD,2016,ＡＴ,91,MGCS1,4 - きれい,354 ～ 358,2025年04月,スポーツ,4700,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,63,MG30D,4 - きれい,155 ～ 161,2025年04月,ベースグレード,3000,,青,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2019,ＡＴ,24,MGTA1,5 - すごくきれい,743 ～ 746,2025年04月,スポーツ,4700,8.10,黒,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 4WD,2021,ＡＴ,15,MLE30E,5 - すごくきれい,639 ～ 644,2025年04月,,3000,9.3,グレー,AC NV TV 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2016,ＡＴ,34,MQP38A,5 - すごくきれい,280 ～ 284,2025年04月,ＧＴ Ｓ,3800,7.4,茶,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 2WD,2006,ＡＴ,65,MQP,4 - きれい,57 ～ 63,2025年04月,,4200,,シルバー,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,86,MLE30E,5 - すごくきれい,280 ～ 285,2025年04月,Ｓ,3000,8.8,青,AC AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,122,MLE30E,4 - きれい,261 ～ 265,2025年04月,Ｓグランスポーツ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2014,ＡＴ,92,MGTA1,4 - きれい,256 ～ 261,2025年04月,スポーツ ＭＣオートシフト,4700,,白,AC NV TV AW,,,,,
マセラティ,ギブリ 4D 4WD,2016,ＡＴ,13,MG30AA,5 - すごくきれい,310 ～ 315,2025年04月,Ｓ Ｑ４,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,42,MLE30,5 - すごくきれい,599 ～ 603,2025年04月,モデナ,3000,,黒,AC AW SR,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,37,MLE30D,5 - すごくきれい,422 ～ 427,2025年04月,ベースグレード,3000,7.9,黒,AC NV TV AW 革,,,,,
マセラティ,グレカーレ 5D 4WD,2024,ＡＴ,7,MGR20C,5 - すごくきれい,664 ～ 667,2025年04月,ＧＴ,2000,9.4,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,91,MG30B,4 - きれい,108 ～ 110,2025年04月,ベースグレード,3000,8.12,白,AC AW SR 革,,,,,
マセラティ,グラントゥーリズモ 2WD,2018,ＡＴ,33,MGTA1,5 - すごくきれい,668 ～ 673,2025年04月,,4700,8.8,青,AC NV TV AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,32,MLE38A,5 - すごくきれい,744 ～ 748,2025年04月,トロフェオ,3800,,,AC NV TV AW SR,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,46,MG30B,5 - すごくきれい,195 ～ 197,2025年04月,ベースグレード,3000,9.2,,AC AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,118,MG30A,4 - きれい,95 ～ 99,2025年04月,Ｓ,3000,,白,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2005,ＡＴ,44,MQP,4 - きれい,40 ～ 45,2025年04月,ベースグレード,4200,,ワイン,AC AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2022,ＡＴ,44,MQP30,5 - すごくきれい,552 ～ 556,2025年04月,モデナ,3000,7.8,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,56,MG30A,-1 - 修復歴あり,152 ～ 156,2025年04月,Ｓ,3000,7.5,白,AC NV TV SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2015,ＡＴ,52,MGTA1,5 - すごくきれい,340 ～ 343,2025年04月,スポーツ,4700,,白,AC NV TV AW 革,,,,,
マセラティ,ギブリ 2WD,2017,ＡＴ,32,MG30C,4 - きれい,189 ～ 192,2025年04月,,3000,,黒,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2013,ＡＴ,124,MQP30A,4 - きれい,140 ～ 144,2025年04月,Ｓ,3000,8.7,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2022,ＡＴ,10,MG20,4 - きれい,361 ～ 365,2025年04月,ＧＴハイブリッド,2000,7.7,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2019,ＡＴ,34,MLE30D,5 - すごくきれい,440 ～ 443,2025年04月,グランスポーツ,3000,,,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,33,MLE30,5 - すごくきれい,640 ～ 645,2025年04月,モデナＳ,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,73,MG30B,4 - きれい,135 ～ 140,2025年04月,ベースグレード,3000,7.12,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2021,ＡＴ,23,MG20,5 - すごくきれい,446 ～ 450,2025年04月,ハイブリッド グランスポーツ,2000,8.4,グレー,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2022,ＡＴ,19,MLE30,5 - すごくきれい,657 ～ 661,2025年04月,モデナ,3000,7.1,グレー,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,32,MLE30E,5 - すごくきれい,358 ～ 362,2025年04月,Ｓ,3000,7.9,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2016,ＡＴ,44,MQP30C,5 - すごくきれい,250 ～ 255,2025年04月,ベースグレード,3000,8.3,紺,AC NV TV AW 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2019,ＡＴ,43,MGTA1,5 - すごくきれい,581 ～ 587,2025年04月,スポーツ,4700,8.6,黒,AC NV TV AW 革,,,,,
マセラティ,ギブリ 4D 2WD,2016,ＡＴ,69,MG30A,4 - きれい,141 ～ 144,2025年04月,Ｓ,3000,,黒,AC NV TV AW 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,22,MGT,4 - きれい,314 ～ 318,2025年04月,ベースグレード,4200,,白,AC,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,35,MG30B,5 - すごくきれい,168 ～ 173,2025年04月,ベースグレード,3000,,黒,AC AW SR,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,108,MGT,3 - 普通,178 ～ 183,2025年03月,ベースグレード,4200,8.12,黒,AC AW,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,62,MG30A,5 - すごくきれい,157 ～ 162,2025年03月,,3000,7.8,黒,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,82,MQP30A,4 - きれい,117 ～ 120,2025年03月,Ｓ,3000,8.2,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,59,MG30A,5 - すごくきれい,157 ～ 161,2025年03月,,3000,7.10,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,53,MGT,5 - すごくきれい,210 ～ 213,2025年03月,ベースグレード,4200,7.6,黒,AC NV TV AW,,,,,
マセラティ,ギブリ 4D 4WD,2016,ＡＴ,87,MG30AA,3 - 普通,172 ～ 177,2025年03月,Ｓ Ｑ４,3000,,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,60,MLE38,5 - すごくきれい,509 ～ 511,2025年03月,トロフェオ,3800,,黒,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,57,MG30A,5 - すごくきれい,157 ～ 162,2025年03月,,3000,7.9,黒,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2017,ＡＴ,21,MLE30A,3 - 普通,262 ～ 265,2025年03月,ベースグレード,3000,7.12,,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,55,MG30B,5 - すごくきれい,173 ～ 177,2025年03月,ベースグレード,3000,9.2,黒,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,99,MGT,3 - 普通,162 ～ 167,2025年03月,ベースグレード,4200,7.10,白,AC 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,56,MGT,4 - きれい,270 ～ 274,2025年03月,ベースグレード,4200,7.5,白,AC AW 革,,,,,
マセラティ,グレカーレ 4WD,2023,ＡＴ,17,MGR20C,5 - すごくきれい,739 ～ 743,2025年03月,,2000,8.9,茶,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,14,MGTS,5 - すごくきれい,350 ～ 356,2025年03月,Ｓ,4700,8.5,白,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2015,ＡＴ,67,MG30B,4 - きれい,146 ～ 150,2025年03月,ベースグレード,3000,8.4,青,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,72,MQP,4 - きれい,105 ～ 110,2025年03月,ベースグレード,4200,7.6,パール,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 4WD,2023,ＡＴ,16,MGR20C,5 - すごくきれい,741 ～ 745,2025年03月,,2000,8.7,茶,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2018,ＡＴ,77,MGTA1,5 - すごくきれい,412 ～ 417,2025年03月,ＭＣ,4700,,紺,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2016,ＡＴ,69,MLE30E,5 - すごくきれい,270 ～ 275,2025年03月,Ｓ,3000,7.11,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2008,ＡＴ,58,MGT,4 - きれい,199 ～ 205,2025年03月,ベースグレード,4200,,白,AC NV TV AW 革,,,,,
マセラティ,スパイダー オープン 2WD,2004,ＡＴ,25,SPY,5 - すごくきれい,251 ～ 254,2025年03月,ベースグレード,4200,,紺,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,27,MLE30D,5 - すごくきれい,419 ～ 422,2025年03月,グランスポーツ,3000,8.3,白,AC NV TV AW SR 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2011,ＡＴ,79,MGTS,4 - きれい,182 ～ 186,2025年03月,Ｓ,4700,,黒,AW 革,,,,,
マセラティ,グラントゥーリズモ クーペ 2WD,2009,ＡＴ,32,MGT,4 - きれい,215 ～ 221,2025年03月,ベースグレード,4200,8.8,黒,AC NV TV AW 革,,,,,
マセラティ,グレカーレ 4WD,2023,ＡＴ,14,MGR20C,5 - すごくきれい,639 ～ 643,2025年03月,,2000,8.7,青,AC NV TV AW SR 革,,,,,
マセラティ,グランスポーツ クーペ 2WD,2006,ＡＴ,42,MGS,4 - きれい,221 ～ 225,2025年03月,ベースグレード,4200,7.8,黒,AC NV TV AW SR 革,,,,,
マセラティ,グレカーレ 4WD,2023,ＡＴ,9,MGR20C,5 - すごくきれい,638 ～ 642,2025年03月,,2000,8.5,青,AC NV TV AW SR 革,,,,,
マセラティ,グランカブリオ オープン 2WD,2017,ＡＴ,3,MGCS1,5 - すごくきれい,808 ～ 813,2025年03月,スポーツ,4700,9.2,白,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 2WD,2005,ＡＴ,155,MQP,-1 - 修復歴あり,18 ～ 23,2025年03月,,4200,8.6,グレー,AC,,,,,
マセラティ,ギブリ 4D 2WD,2017,ＡＴ,84,MG30A,4 - きれい,138 ～ 142,2025年03月,Ｓ,3000,8.4,青,AC NV TV AW SR 革,,,,,
マセラティ,グランスポーツ オープン 2WD,2017,ＡＴ,8,MGCS1,5 - すごくきれい,808 ～ 813,2025年03月,スポーツ,4700,8.8,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2020,ＡＴ,16,MLE30D,5 - すごくきれい,503 ～ 507,2025年03月,グランスポーツ,3000,7.9,黒,AC SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2018,ＡＴ,51,MG30A,5 - すごくきれい,325 ～ 327,2025年03月,Ｓ グランスポーツ,3000,,パール,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2015,ＡＴ,72,MQP38A,3 - 普通,129 ～ 132,2025年03月,ＧＴ Ｓ,3800,8.2,白,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2005,ＡＴ,43,MQP,4 - きれい,53 ～ 56,2025年03月,ベースグレード,4200,,黒,AC AW 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2018,ＡＴ,45,MLE30D,3 - 普通,276 ～ 281,2025年03月,グランスポーツ,3000,7.11,白,AC NV TV AW SR 革,,,,,
マセラティ,レヴァンテ 5D 4WD,2021,ＡＴ,34,MLE30,5 - すごくきれい,498 ～ 502,2025年03月,モデナ,3000,8.5,グレー,AC NV TV AW SR 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2014,ＡＴ,113,MQP30A,4 - きれい,126 ～ 131,2025年03月,Ｓ,3000,,シルバー,AC NV TV AW SR 革,,,,,
マセラティ,ギブリ 4D 2WD,2014,ＡＴ,38,MG30A,4 - きれい,152 ～ 158,2025年03月,Ｓ,3000,7.5,青,AC NV TV AW 革,,,,,
マセラティ,クアトロポルテ 4D 2WD,2007,ＡＴ,105,MQP,4 - きれい,51 ～ 54,2025年03月,ベースグレード,4200,8.2,グレー,AC AW SR 革,,,,,
